root,bytes,file_count,npz_count,npy_count,json_count,csv_count,tracked_reference_mentions,category,exact_duplicate_candidate_bytes,deletion_state
phaseB_cwru_within_load0_random_smoke_v3,109270,34,0,0,33,1,0,DEVELOPMENT_SMOKE_OR_PILOT,1387,EXACT_DUPLICATE_FILES_ONLY_PENDING_AUTHORIZATION
phaseB_cwru_within_load0_random_smoke_v4,109270,34,0,0,33,1,0,DEVELOPMENT_SMOKE_OR_PILOT,109270,EXACT_DUPLICATE_FILES_ONLY_PENDING_AUTHORIZATION
phaseB_cwru_within_load0_random_smoke_v5,109270,34,0,0,33,1,0,DEVELOPMENT_SMOKE_OR_PILOT,109270,EXACT_DUPLICATE_FILES_ONLY_PENDING_AUTHORIZATION
phaseB_cwru_within_load0_random_smoke_v2,109103,34,0,0,33,1,0,DEVELOPMENT_SMOKE_OR_PILOT,1387,EXACT_DUPLICATE_FILES_ONLY_PENDING_AUTHORIZATION
phaseB_cwru_within_load0_random_smoke,107191,34,0,0,33,1,0,DEVELOPMENT_SMOKE_OR_PILOT,0,REVIEW_NOT_AUTOMATIC
pu_loco_llm_smoke_2026-07-07,100343,2,0,1,1,0,1,DEVELOPMENT_SMOKE_OR_PILOT,0,REVIEW_NOT_AUTOMATIC
phaseB_cwru_within_load0_llm_smoke_api_v2_healthy_prompt,85663,13,0,0,11,1,0,DEVELOPMENT_SMOKE_OR_PILOT,0,REVIEW_NOT_AUTOMATIC
verifier_v2_N09_M07_F10_c90_soft_w1.json,75307,1,0,0,1,0,1,REFERENCED_LEGACY_EVIDENCE,75307,EXACT_DUPLICATE_FILES_ONLY_PENDING_AUTHORIZATION
.DS_Store,55300,1,0,0,0,0,0,DEVELOPMENT_UNCLASSIFIED,0,REVIEW_NOT_AUTOMATIC
mt_verifier_smoke_real_details.csv,45862,1,0,0,0,1,0,DEVELOPMENT_SMOKE_OR_PILOT,0,REVIEW_NOT_AUTOMATIC
train_part2.log,11448,1,0,0,0,0,0,TOP_LEVEL_RUN_RECORD,0,REVIEW_NOT_AUTOMATIC
block4_main.log,7157,1,0,0,0,0,1,REFERENCED_LEGACY_EVIDENCE,0,REVIEW_NOT_AUTOMATIC
verifier_N09_M07_F10_c85.json,6849,1,0,0,1,0,0,TOP_LEVEL_RUN_RECORD,0,REVIEW_NOT_AUTOMATIC
verifier_N09_M07_F10_file_c85.json,6841,1,0,0,1,0,1,REFERENCED_LEGACY_EVIDENCE,0,REVIEW_NOT_AUTOMATIC
verifier_N09_M07_F10_file_c90.json,6823,1,0,0,1,0,1,REFERENCED_LEGACY_EVIDENCE,0,REVIEW_NOT_AUTOMATIC
verifier_N09_M07_F10_file_c95.json,6823,1,0,0,1,0,1,REFERENCED_LEGACY_EVIDENCE,0,REVIEW_NOT_AUTOMATIC
verifier_N09_M07_F10_c95.json,6816,1,0,0,1,0,0,TOP_LEVEL_RUN_RECORD,0,REVIEW_NOT_AUTOMATIC
verifier_N09_M07_F10_c90.json,6815,1,0,0,1,0,0,TOP_LEVEL_RUN_RECORD,0,REVIEW_NOT_AUTOMATIC
verifier_main.json,5242,1,0,0,1,0,0,TOP_LEVEL_RUN_RECORD,0,REVIEW_NOT_AUTOMATIC
train_part1.log,5118,1,0,0,0,0,0,TOP_LEVEL_RUN_RECORD,0,REVIEW_NOT_AUTOMATIC
api_poll.log,3536,1,0,0,0,0,0,TOP_LEVEL_RUN_RECORD,0,REVIEW_NOT_AUTOMATIC
pool_physics_k3.log,3446,1,0,0,0,0,0,TOP_LEVEL_RUN_RECORD,0,REVIEW_NOT_AUTOMATIC
pool_basic_k0.log,1852,1,0,0,0,0,0,TOP_LEVEL_RUN_RECORD,0,REVIEW_NOT_AUTOMATIC
pool_basic_file_k0.log,1402,1,0,0,0,0,1,REFERENCED_LEGACY_EVIDENCE,0,REVIEW_NOT_AUTOMATIC
pool_physics_file_k3.log,1391,1,0,0,0,0,1,REFERENCED_LEGACY_EVIDENCE,0,REVIEW_NOT_AUTOMATIC
pool_raw_k2.log,697,1,0,0,0,0,0,TOP_LEVEL_RUN_RECORD,0,REVIEW_NOT_AUTOMATIC
downstream_check_v7.log,275,1,0,0,0,0,0,TOP_LEVEL_RUN_RECORD,0,REVIEW_NOT_AUTOMATIC
downstream_check_v8.log,260,1,0,0,0,0,0,TOP_LEVEL_RUN_RECORD,0,REVIEW_NOT_AUTOMATIC
downstream_check_v5.log,253,1,0,0,0,0,0,TOP_LEVEL_RUN_RECORD,0,REVIEW_NOT_AUTOMATIC
vaegan_fullcorpus.log,246,1,0,0,0,0,0,TOP_LEVEL_RUN_RECORD,0,REVIEW_NOT_AUTOMATIC
block4_llm_pool_check.log,190,1,0,0,0,0,0,TOP_LEVEL_RUN_RECORD,0,REVIEW_NOT_AUTOMATIC
downstream_check_v6_fewshot.log,174,1,0,0,0,0,0,TOP_LEVEL_RUN_RECORD,0,REVIEW_NOT_AUTOMATIC
v8_8seeds.log,171,1,0,0,0,0,0,TOP_LEVEL_RUN_RECORD,0,REVIEW_NOT_AUTOMATIC
recal.log,164,1,0,0,0,0,0,TOP_LEVEL_RUN_RECORD,0,REVIEW_NOT_AUTOMATIC
calib_sens.log,163,1,0,0,0,0,0,TOP_LEVEL_RUN_RECORD,0,REVIEW_NOT_AUTOMATIC
pool_dev_v2.log,143,1,0,0,0,0,0,TOP_LEVEL_RUN_RECORD,0,REVIEW_NOT_AUTOMATIC
recal_file.log,123,1,0,0,0,0,2,REFERENCED_LEGACY_EVIDENCE,0,REVIEW_NOT_AUTOMATIC
pilot_mimo_k2.log,87,1,0,0,0,0,0,DEVELOPMENT_SMOKE_OR_PILOT,0,REVIEW_NOT_AUTOMATIC
pilot_mimo_k2b.log,87,1,0,0,0,0,0,DEVELOPMENT_SMOKE_OR_PILOT,0,REVIEW_NOT_AUTOMATIC
resume_watch.log,0,1,0,0,0,0,0,TOP_LEVEL_RUN_RECORD,0,REVIEW_NOT_AUTOMATIC
