baseline,model,n_real,seed,epochs,fold,heldout_file_id,n_train,n_val,acc,macro_f1,f1_normal_machining,f1_lead_screw_anomaly,f1_base_imbalance,confusion
real_only,simple_cnn,full,0,20,file_id_5,5,1424,313,0.9488817891373802,0.9390824666303387,0.9494163424124513,0.8805970149253731,0.9872340425531915,"[[122,1,0],[12,59,0],[0,3,116]]"
real_only,simple_cnn,10,0,20,file_id_5,5,30,313,0.3929712460063898,0.34181060054472406,0.0625,0.41825095057034223,0.5446808510638298,"[[4,82,37],[1,55,15],[0,55,64]]"
real_only,simple_cnn,10,1,20,file_id_5,5,30,313,0.43130990415335463,0.36930816115684734,0.043795620437956206,0.42290748898678415,0.6412213740458015,"[[3,73,47],[11,48,12],[0,35,84]]"
real_only,simple_cnn,10,2,20,file_id_5,5,30,313,0.2523961661341853,0.2034679012432675,0.047619047619047616,0.41924398625429554,0.14354066985645933,"[[3,55,65],[0,61,10],[0,104,15]]"
real_only,simple_cnn,10,3,20,file_id_5,5,30,313,0.36741214057507987,0.3271679736064868,0.13333333333333333,0.3248730964467005,0.5232974910394266,"[[10,48,65],[17,32,22],[0,46,73]]"
real_only,simple_cnn,10,4,20,file_id_5,5,30,313,0.23003194888178913,0.12914128227444155,0.0,0.370757180156658,0.016666666666666666,"[[0,123,0],[0,71,0],[0,118,1]]"
real_only,simple_cnn,10,5,20,file_id_5,5,30,313,0.4057507987220447,0.3489869602931401,0.03125,0.42696629213483145,0.5887445887445888,"[[2,89,32],[2,57,12],[1,50,68]]"
real_only,simple_cnn,10,6,20,file_id_5,5,30,313,0.34185303514376997,0.2882306099697404,0.0,0.3516483516483517,0.5130434782608696,"[[0,94,29],[0,48,23],[0,60,59]]"
real_only,simple_cnn,10,7,20,file_id_5,5,30,313,0.268370607028754,0.1961945498213543,0.016129032258064516,0.3867403314917127,0.18571428571428572,"[[1,115,7],[0,70,1],[0,106,13]]"
real_only,simple_cnn,10,8,20,file_id_5,5,30,313,0.3993610223642173,0.4005856614172985,0.36464088397790057,0.3724696356275304,0.46464646464646464,"[[33,65,25],[17,46,8],[8,65,46]]"
real_only,simple_cnn,10,9,20,file_id_5,5,30,313,0.28434504792332266,0.22400760569286926,0.015873015873015872,0.3952802359882006,0.2608695652173913,"[[1,104,18],[1,67,3],[1,97,21]]"
real_only,simple_cnn,25,0,20,file_id_5,5,75,313,0.4952076677316294,0.4821502488076175,0.345679012345679,0.45188284518828453,0.6488888888888888,"[[28,69,26],[10,54,7],[1,45,73]]"
real_only,simple_cnn,25,1,20,file_id_5,5,75,313,0.5527156549520766,0.5185544962123484,0.5412844036697247,0.3006535947712418,0.7137254901960784,"[[59,34,30],[33,23,15],[3,25,91]]"
real_only,simple_cnn,25,2,20,file_id_5,5,75,313,0.3738019169329074,0.3540103062578633,0.2777777777777778,0.42996742671009774,0.35428571428571426,"[[20,83,20],[0,66,5],[1,87,31]]"
real_only,simple_cnn,25,3,20,file_id_5,5,75,313,0.46645367412140576,0.41440834791380965,0.5911949685534591,0.24060150375939848,0.4114285714285714,"[[94,13,16],[51,16,4],[50,33,36]]"
real_only,simple_cnn,25,4,20,file_id_5,5,75,313,0.41214057507987223,0.412883218146376,0.41818181818181815,0.3888888888888889,0.43157894736842106,"[[46,59,18],[17,42,12],[34,44,41]]"
real_only,simple_cnn,25,5,20,file_id_5,5,75,313,0.4249201277955272,0.4125581859196395,0.2732919254658385,0.44696969696969696,0.5174129353233831,"[[22,78,23],[5,59,7],[11,56,52]]"
real_only,simple_cnn,25,6,20,file_id_5,5,75,313,0.4185303514376997,0.3770431473706717,0.14705882352941177,0.4669603524229075,0.5171102661596958,"[[10,53,60],[2,53,16],[1,50,68]]"
real_only,simple_cnn,25,7,20,file_id_5,5,75,313,0.5239616613418531,0.44911609294955723,0.09230769230769231,0.5087719298245614,0.746268656716418,"[[6,81,36],[0,58,13],[1,18,100]]"
real_only,simple_cnn,25,8,20,file_id_5,5,75,313,0.3769968051118211,0.34434434434434436,0.17777777777777778,0.4444444444444444,0.41081081081081083,"[[12,86,25],[0,68,3],[0,81,38]]"
real_only,simple_cnn,25,9,20,file_id_5,5,75,313,0.4696485623003195,0.42798109798798323,0.13333333333333333,0.4978902953586498,0.6527196652719666,"[[10,79,34],[4,59,8],[13,28,78]]"
real_only,simple_cnn,50,0,20,file_id_5,5,150,313,0.7476038338658147,0.7219474168293066,0.8346456692913385,0.5256410256410257,0.8055555555555556,"[[106,14,3],[23,41,7],[2,30,87]]"
