method,n_real,n_syn,seed,train_sample_count,acc,macro_f1,f1_normal_machining,f1_lead_screw_anomaly,f1_base_imbalance,confusion
rule_verified,10,5,8,45,0.39299610894941633,0.37337319977047634,0.26229508196721313,0.4404332129963899,0.41739130434782606,"[[16,54,1],[35,61,23],[0,43,24]]"
random_open_loop,10,5,8,45,0.29571984435797666,0.302912141621819,0.22377622377622378,0.2304147465437788,0.45454545454545453,"[[16,48,7],[49,25,45],[7,25,35]]"
real_only,10,5,9,30,0.3968871595330739,0.3610576257535143,0.12844036697247707,0.43621399176954734,0.5185185185185185,"[[7,52,12],[25,53,41],[6,19,42]]"
noise_aug,10,5,9,45,0.4085603112840467,0.3715325424051839,0.14545454545454545,0.39622641509433965,0.5729166666666666,"[[8,46,17],[24,42,53],[7,5,55]]"
llm_closed_loop,10,5,9,45,0.33073929961089493,0.2899739678737791,0.11214953271028037,0.4074074074074074,0.35036496350364965,"[[6,53,12],[30,55,34],[0,43,24]]"
rule_verified,10,5,9,45,0.2178988326848249,0.2116883116883117,0.2,0.23809523809523808,0.19696969696969696,"[[13,49,9],[46,30,43],[0,54,13]]"
random_open_loop,10,5,9,45,0.39299610894941633,0.38353463735585086,0.1732283464566929,0.37606837606837606,0.6013071895424836,"[[11,56,4],[39,44,36],[6,15,46]]"
real_only,25,5,0,75,0.28793774319066145,0.2854421634596262,0.23140495867768596,0.24074074074074073,0.384180790960452,"[[14,38,19],[36,26,57],[0,33,34]]"
noise_aug,25,5,0,90,0.3346303501945525,0.3412120819476238,0.3357664233576642,0.25,0.4378698224852071,"[[23,33,15],[43,26,50],[0,30,37]]"
llm_closed_loop,25,5,0,90,0.311284046692607,0.3302251909778791,0.23225806451612904,0.21296296296296297,0.5454545454545454,"[[18,46,7],[66,23,30],[0,28,39]]"
rule_verified,25,5,0,90,0.3657587548638132,0.38655114444588135,0.36363636363636365,0.14736842105263157,0.6486486486486487,"[[32,38,1],[73,14,32],[0,19,48]]"
random_open_loop,25,5,0,90,0.41245136186770426,0.42060450419169787,0.3287671232876712,0.27450980392156865,0.6585365853658537,"[[24,44,3],[51,28,40],[0,13,54]]"
real_only,25,5,1,75,0.4046692607003891,0.38032850355671055,0.125,0.40160642570281124,0.6143790849673203,"[[7,60,4],[34,50,35],[0,20,47]]"
noise_aug,25,5,1,90,0.3463035019455253,0.34056678426733206,0.16129032258064516,0.2943722943722944,0.5660377358490566,"[[10,56,5],[43,34,42],[0,22,45]]"
llm_closed_loop,25,5,1,90,0.25680933852140075,0.2748109161622236,0.16216216216216217,0.20425531914893616,0.4580152671755725,"[[12,57,2],[63,24,32],[2,35,30]]"
rule_verified,25,5,1,90,0.33852140077821014,0.33444610020258686,0.171875,0.3387096774193548,0.4927536231884058,"[[11,56,4],[44,42,33],[2,31,34]]"
random_open_loop,25,5,1,90,0.2723735408560311,0.28701621411516465,0.1527777777777778,0.21551724137931033,0.4927536231884058,"[[11,56,4],[61,25,33],[1,32,34]]"
real_only,25,5,2,75,0.29571984435797666,0.2807568755367422,0.11864406779661017,0.3178294573643411,0.4057971014492754,"[[7,59,5],[40,41,38],[0,39,28]]"
noise_aug,25,5,2,90,0.3229571984435798,0.32649806334016857,0.16666666666666666,0.2543859649122807,0.5584415584415584,"[[11,56,4],[50,29,40],[0,24,43]]"
llm_closed_loop,25,5,2,90,0.27626459143968873,0.2589761761769494,0.13559322033898305,0.31297709923664124,0.3283582089552239,"[[8,57,6],[39,41,39],[0,45,22]]"
rule_verified,25,5,2,90,0.36186770428015563,0.3625338206972448,0.10606060606060606,0.3735408560311284,0.608,"[[7,62,2],[53,48,18],[1,28,38]]"
random_open_loop,25,5,2,90,0.3229571984435798,0.3092711885815334,0.11965811965811966,0.3253968253968254,0.4827586206896552,"[[7,60,4],[39,41,39],[0,32,35]]"
real_only,25,5,3,75,0.26848249027237353,0.2541432632965814,0.17391304347826086,0.3157894736842105,0.2727272727272727,"[[12,55,4],[53,42,24],[2,50,15]]"
noise_aug,25,5,3,90,0.3424124513618677,0.33882352264127596,0.19402985074626866,0.3562753036437247,0.46616541353383456,"[[13,50,8],[48,44,27],[2,34,31]]"
llm_closed_loop,25,5,3,90,0.2490272373540856,0.22001628508477822,0.07692307692307693,0.29545454545454547,0.2876712328767123,"[[4,60,7],[29,39,51],[0,46,21]]"
rule_verified,25,5,3,90,0.245136186770428,0.23357902298850575,0.128,0.27586206896551724,0.296875,"[[8,58,5],[46,36,37],[0,48,19]]"
random_open_loop,25,5,3,90,0.19844357976653695,0.20271151759842898,0.1774193548387097,0.12037037037037036,0.3103448275862069,"[[11,44,16],[42,13,64],[0,40,27]]"
real_only,25,5,4,75,0.15953307392996108,0.17407353187217667,0.2125,0.06511627906976744,0.2446043165467626,"[[17,40,14],[71,7,41],[1,49,17]]"
noise_aug,25,5,4,90,0.24124513618677043,0.26147052951412875,0.24675324675324675,0.14349775784753363,0.39416058394160586,"[[19,50,2],[62,16,41],[2,38,27]]"
llm_closed_loop,25,5,4,90,0.245136186770428,0.2504201680672269,0.17142857142857143,0.226890756302521,0.35294117647058826,"[[12,50,9],[56,27,36],[1,42,24]]"
rule_verified,25,5,4,90,0.20622568093385213,0.20859683337549337,0.21138211382113822,0.19672131147540983,0.21768707482993196,"[[13,50,8],[39,24,56],[0,51,16]]"
random_open_loop,25,5,4,90,0.19455252918287938,0.20260702154532859,0.17886178861788618,0.09954751131221719,0.32941176470588235,"[[11,52,8],[41,11,67],[0,39,28]]"
real_only,25,5,5,75,0.2840466926070039,0.2827824803220686,0.24806201550387597,0.2868525896414343,0.31343283582089554,"[[16,50,5],[42,36,41],[0,46,21]]"
noise_aug,25,5,5,90,0.26848249027237353,0.23841168846471072,0.12173913043478261,0.3333333333333333,0.2601626016260163,"[[7,60,4],[37,46,36],[0,51,16]]"
llm_closed_loop,25,5,5,90,0.2607003891050584,0.2759946115313528,0.12413793103448276,0.23140495867768596,0.47244094488188976,"[[9,59,3],[64,28,27],[1,36,30]]"
rule_verified,25,5,5,90,0.27626459143968873,0.2804877691883341,0.14814814814814814,0.2457627118644068,0.44755244755244755,"[[10,53,8],[54,29,36],[0,35,32]]"
random_open_loop,25,5,5,90,0.3035019455252918,0.30009086778736943,0.14516129032258066,0.2903225806451613,0.4647887323943662,"[[9,59,3],[44,36,39],[0,34,33]]"
real_only,25,5,6,75,0.23735408560311283,0.26061464416334396,0.21518987341772153,0.1572052401746725,0.4094488188976378,"[[17,51,3],[70,18,31],[0,41,26]]"
noise_aug,25,5,6,90,0.2918287937743191,0.3108864982858522,0.174496644295302,0.26229508196721313,0.49586776859504134,"[[13,56,2],[65,32,22],[0,37,30]]"
llm_closed_loop,25,5,6,90,0.19844357976653695,0.189638343136028,0.14754098360655737,0.22137404580152673,0.2,"[[9,60,2],[42,29,48],[0,54,13]]"
rule_verified,25,5,6,90,0.23735408560311283,0.24193270821649518,0.13953488372093023,0.1810344827586207,0.40522875816993464,"[[9,56,6],[49,21,49],[0,36,31]]"
random_open_loop,25,5,6,90,0.22568093385214008,0.2350807849663685,0.13636363636363635,0.14782608695652175,0.42105263157894735,"[[9,59,3],[52,17,50],[0,35,32]]"
real_only,25,5,7,75,0.4085603112840467,0.39224476493849186,0.20634920634920634,0.4575645756457565,0.5128205128205128,"[[13,55,3],[40,62,17],[2,35,30]]"
noise_aug,25,5,7,90,0.2529182879377432,0.2429397412279987,0.19047619047619047,0.2992125984251969,0.2391304347826087,"[[16,52,3],[70,38,11],[11,45,11]]"
llm_closed_loop,25,5,7,90,0.3346303501945525,0.33871417731066855,0.2074074074074074,0.32388663967611336,0.48484848484848486,"[[14,54,3],[49,40,30],[1,34,32]]"
rule_verified,25,5,7,90,0.3540856031128405,0.3348234838543123,0.12173913043478261,0.37209302325581395,0.5106382978723404,"[[7,60,4],[37,48,34],[0,31,36]]"
random_open_loop,25,5,7,90,0.33073929961089493,0.30380678063317496,0.08771929824561403,0.37593984962406013,0.44776119402985076,"[[5,60,6],[38,50,31],[0,37,30]]"
real_only,25,5,8,75,0.2723735408560311,0.265566052221358,0.1322314049586777,0.26720647773279355,0.3972602739726027,"[[8,57,6],[42,33,44],[0,38,29]]"
noise_aug,25,5,8,90,0.19455252918287938,0.17833209931602245,0.08130081300813008,0.2366412213740458,0.21705426356589147,"[[5,59,7],[47,31,41],[0,53,14]]"
llm_closed_loop,25,5,8,90,0.2723735408560311,0.23400351571083278,0.10810810810810811,0.35,0.24390243902439024,"[[6,61,4],[33,49,37],[1,51,15]]"
rule_verified,25,5,8,90,0.26459143968871596,0.2638382288807833,0.12244897959183673,0.29508196721311475,0.37398373983739835,"[[9,58,4],[54,36,29],[13,31,23]]"
random_open_loop,25,5,8,90,0.311284046692607,0.31693479985772527,0.13333333333333333,0.29838709677419356,0.5190839694656488,"[[9,60,2],[54,37,28],[1,32,34]]"
real_only,25,5,9,75,0.26459143968871596,0.27668093809868594,0.15492957746478872,0.23236514522821577,0.44274809160305345,"[[11,57,3],[59,28,32],[1,37,29]]"
noise_aug,25,5,9,90,0.19844357976653695,0.17847005884389064,0.20444444444444446,0.22429906542056074,0.10666666666666667,"[[23,48,0],[91,24,4],[40,23,4]]"
