request_index,slot,target_class,round_id,attempt,model,prompt_hash,response_hash,http_status,parse_status,timestamp,accepted,rejection_reasons
48,5,base_imbalance,0,48,mimo-v2.5,fe0de1624fc4f2620e8860c7245a05aa693fafd6e8bbba96a4306d08349a2a95,c72f80481f391d86d3b29d91fbfd3abf9edfcda73ec60574526a7a72722fcaea,200,error:JSONDecodeError,2026-07-10T07:03:39+00:00,False,api_or_json
49,5,base_imbalance,1,49,mimo-v2.5,5c5ad70ee2b1ad447450f18ee0789d026bc2c77384bd768cb307814b165054f1,00e5aad9eaca89c29796bc9cce2922395f535d81e6acce0bf1770585a42246e2,200,json_ok,2026-07-10T07:03:48+00:00,True,
50,6,lead_screw_anomaly,0,50,mimo-v2.5,ff33288ae607929a4fa4be34a48541e73b79e791602d41519b5160ac99515552,cfa762ece0063e7419d616dac0bcd107110427d5f29f2789c3c5c65feeb42439,200,json_ok,2026-07-10T07:03:56+00:00,True,
51,6,normal_machining,0,51,mimo-v2.5,3ce7fdbb7ad248b85194c1719f17c95ae1cea7958ab9b12a31d1259d017259fa,f2602a8c731c0187aeb39f60d5126829e3625a4113ab4e1ec482d173dd9d71d2,200,error:JSONDecodeError,2026-07-10T07:04:03+00:00,False,api_or_json
52,6,normal_machining,1,52,mimo-v2.5,b78a31b8144a4cdc0133c4e58f8bbe7a17aa3fd6deaf22dce38b8acd1d3f0931,051a44fe692a1e32e8061acd1dcf97a73becec25e2d78c972408d7ff81916581,200,error:JSONDecodeError,2026-07-10T07:04:13+00:00,False,api_or_json
53,6,normal_machining,2,53,mimo-v2.5,c0bd4d5d9d396245c5b480297f6746c9d6ec1331d1e5360d059593719070cd92,faba277f6d1c9893b440fbc7adbf64e9ea9393757bf4add088b3913482523cff,200,error:JSONDecodeError,2026-07-10T07:04:22+00:00,False,api_or_json
54,6,normal_machining,3,54,mimo-v2.5,e1effe8ac190bf5c655d455d863a938dabf8cc63e1d0ee166001648b3e6847a3,300e1b7afa71d2455b613f56cd8ee0ff8c94bfea9f263f9d06ac5d748d109163,200,error:JSONDecodeError,2026-07-10T07:04:28+00:00,False,api_or_json
55,7,normal_machining,0,55,mimo-v2.5,3ce7fdbb7ad248b85194c1719f17c95ae1cea7958ab9b12a31d1259d017259fa,5fa0180e69015d2b4541879f069ec6ecbdf1c84ec0602b2ddf5abe17c1bbb26b,200,error:JSONDecodeError,2026-07-10T07:04:37+00:00,False,api_or_json
56,7,normal_machining,1,56,mimo-v2.5,b78a31b8144a4cdc0133c4e58f8bbe7a17aa3fd6deaf22dce38b8acd1d3f0931,2d7a06334df52e36473309fddf1a1420e358f9e3ba9727ff9914d4b06fd58fa4,200,json_ok,2026-07-10T07:04:44+00:00,True,
57,6,base_imbalance,0,57,mimo-v2.5,fe0de1624fc4f2620e8860c7245a05aa693fafd6e8bbba96a4306d08349a2a95,6720a9de51f63751e1dd44a8f0a7a7459caf269db480bfa1fd9f3e3c67f06ebd,200,error:JSONDecodeError,2026-07-10T07:04:51+00:00,False,api_or_json
58,6,base_imbalance,1,58,mimo-v2.5,5c5ad70ee2b1ad447450f18ee0789d026bc2c77384bd768cb307814b165054f1,1c6e2f43ea66ab3bec7f293526c2058df84efd0b59dc09af432db9b617a8814a,200,error:JSONDecodeError,2026-07-10T07:04:57+00:00,False,api_or_json
59,6,base_imbalance,2,59,mimo-v2.5,e62d8afb8714975424a43b37417151065b4e1117b62ce1db17d374ff7eb27642,fead326cef20d34f3c95a9814bffe5c08b927d46274504560493ef2d42447701,502,http_error,2026-07-10T07:05:01+00:00,False,api_or_json
60,6,base_imbalance,3,60,mimo-v2.5,6e8b30f8e06d6141161a69b0e348e6482673135c936784a35dafa0dd88d03b0a,f179b70a82ff7c782226e2dd7815031cc9c629f93f5fade87ea19234c04db692,200,json_ok,2026-07-10T07:05:08+00:00,False,recipe_schema
